user,fullname,tweet-id,timestamp,url,likes,replies,retweets,text,html
putinsmypapi,#TeamDeepState  🌈,1047927428948135936,2018-10-04 19:12:23,/putinsmypapi/status/1047927428948135936,1,0,0,"What's on your Christmas shopping list, a Amazon Alexa, a new Apple iPhone or connected devices like a wifi appliances? 
#GoogleHome $APPL $AMZN #Samsung
#FAANG #BlackFriday","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">What's on your <strong>Christmas</strong> shopping list, a <strong>Amazon</strong> <strong>Alexa</strong>, a new Apple iPhone or connected devices like a wifi appliances? 
<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/GoogleHome?src=hash""><s>#</s><b>GoogleHome</b></a> <a class=""twitter-cashtag pretty-link js-nav"" data-query-source=""cashtag_click"" dir=""ltr"" href=""/search?q=%24APPL&amp;src=ctag""><s>$</s><b>APPL</b></a> <a class=""twitter-cashtag pretty-link js-nav"" data-query-source=""cashtag_click"" dir=""ltr"" href=""/search?q=%24AMZN&amp;src=ctag""><s>$</s><b>AMZN</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Samsung?src=hash""><s>#</s><b>Samsung</b></a>
<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/FAANG?src=hash""><s>#</s><b>FAANG</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/BlackFriday?src=hash""><s>#</s><b>BlackFriday</b></a></p>"
AntonyAttree,Antony Attree,1047744660658110464,2018-10-04 07:06:07,/AntonyAttree/status/1047744660658110464,0,0,0,"@BbMrsbrownsboys I think u should ask ur Da in the Christmas shows,can u shout down the camera “ALEXA! PLAY THE AULD TRIANGLE BY LUKE KELLY!!” Just think of all the Amazon echos across the globe!!  ","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""247262006"" dir=""ltr"" href=""/BbMrsbrownsboys""><s>@</s><b>BbMrsbrownsboys</b></a> I think u should ask ur Da in the <strong>Christmas</strong> shows,can u shout down the camera “<strong>ALEXA</strong>! PLAY THE AULD TRIANGLE BY LUKE KELLY!!” Just think of all the <strong>Amazon</strong> echos across the globe!!  <img alt=""😂"" aria-label=""Emoji: Face with tears of joy"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f602.png"" title=""Face with tears of joy""/></p>"
hibarb7, 🇨🇦 Barb Burt  🇩🇪,1048322790175125504,2018-10-05 21:23:24,/hibarb7/status/1048322790175125504,0,0,0,"#Alexa, order me a #Christmas tree. #Amazon is moving in on a #holiday tradition. The online giant will sell live, full-size Christmas trees this year 2018. https://www.chainstoreage.com/technology/alexa-order-me-a-christmas-tree/ …","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Alexa?src=hash""><s>#</s><b><strong>Alexa</strong></b></a>, order me a <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Christmas?src=hash""><s>#</s><b><strong>Christmas</strong></b></a> tree. <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Amazon?src=hash""><s>#</s><b><strong>Amazon</strong></b></a> is moving in on a <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/holiday?src=hash""><s>#</s><b>holiday</b></a> tradition. The online giant will sell live, full-size <strong>Christmas</strong> trees this year 2018. <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://www.chainstoreage.com/technology/alexa-order-me-a-christmas-tree/"" dir=""ltr"" href=""https://t.co/oPua72XlsZ"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.chainstoreage.com/technology/alexa-order-me-a-christmas-tree/""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">chainstoreage.com/technology/ale</span><span class=""invisible"">xa-order-me-a-christmas-tree/</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>"
Ranting_Mom,J Soares,1046584421736833024,2018-10-01 02:15:45,/Ranting_Mom/status/1046584421736833024,0,1,0,Still can’t access Amazon music in Canada..... c’mon already!!!!!  It’s been a loooooong time already!!!  Hell I bought my parents Sonos with Alexa and an amazon prime account LAST CHRISTMAS and they still can’t use it!!!!,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Still can’t access <strong>Amazon</strong> music in Canada..... c’mon already!!!!!  It’s been a loooooong time already!!!  Hell I bought my parents Sonos with <strong>Alexa</strong> and an <strong>amazon</strong> prime account LAST <strong>CHRISTMAS</strong> and they still can’t use it!!!!</p>"
ProfPek,Ric Leddy,1050052727596900352,2018-10-10 15:57:33,/ProfPek/status/1050052727596900352,13,2,1,"D124R2 Have been coding just not tweeting. Still working on alexa apps with flask-ask. One on hold while I figure out Oauth and amazon login.  Did get another one certified though http://www.amazon.com/dp/B07J639PYX 
Counts down to various holidays #Christmas , #Thanksgiving , #wolfenoot","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">D124R2 Have been coding just not tweeting. Still working on <strong>alexa</strong> apps with flask-ask. One on hold while I figure out Oauth and <strong>amazon</strong> login.  Did get another one certified though <a class=""twitter-timeline-link"" data-expanded-url=""http://www.amazon.com/dp/B07J639PYX"" dir=""ltr"" href=""https://t.co/FdQB3tNcFl"" rel=""nofollow noopener"" target=""_blank"" title=""http://www.amazon.com/dp/B07J639PYX""><span class=""tco-ellipsis""></span><span class=""invisible"">http://www.</span><span class=""js-display-url"">amazon.com/dp/B07J639PYX</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a>
Counts down to various holidays <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Christmas?src=hash""><s>#</s><b><strong>Christmas</strong></b></a> , <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Thanksgiving?src=hash""><s>#</s><b>Thanksgiving</b></a> , <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/wolfenoot?src=hash""><s>#</s><b>wolfenoot</b></a></p>"
siera_london,Siera London,1050739665098010624,2018-10-12 13:27:12,/siera_london/status/1050739665098010624,0,0,0,#Christmas shopping #Amazon #Kindles? See this #AmazonGiveaway for: Fire HD 10 Tablet with Alexa Hands-Fr.... NoPurchNec: https://giveaway.amazon.com/p/1d5b3f1886b44d3b?ref_=tsm_4_tw_h_dashboard&i=twh … #sieralondon #onceuponarebelfairytale,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Christmas?src=hash""><s>#</s><b><strong>Christmas</strong></b></a> shopping <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Amazon?src=hash""><s>#</s><b><strong>Amazon</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Kindles?src=hash""><s>#</s><b>Kindles</b></a>? See this <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/AmazonGiveaway?src=hash""><s>#</s><b>AmazonGiveaway</b></a> for: Fire HD 10 Tablet with <strong>Alexa</strong> Hands-Fr.... NoPurchNec: <a class=""twitter-timeline-link"" data-expanded-url=""https://giveaway.amazon.com/p/1d5b3f1886b44d3b?ref_=tsm_4_tw_h_dashboard&amp;i=twh"" dir=""ltr"" href=""https://t.co/hH8NqNOyvX"" rel=""nofollow noopener"" target=""_blank"" title=""https://giveaway.amazon.com/p/1d5b3f1886b44d3b?ref_=tsm_4_tw_h_dashboard&amp;i=twh""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">giveaway.amazon.com/p/1d5b3f1886b4</span><span class=""invisible"">4d3b?ref_=tsm_4_tw_h_dashboard&amp;i=twh</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/sieralondon?src=hash""><s>#</s><b>sieralondon</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/onceuponarebelfairytale?src=hash""><s>#</s><b>onceuponarebelfairytale</b></a></p>"
merriestweets,Merrie  ✨,1050691888771153920,2018-10-12 10:17:21,/merriestweets/status/1050691888771153920,1,0,0,Told Alexa to play folk pop. She started playing Christmas music. I’m not mad. @amazon #alexa,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Told <strong>Alexa</strong> to play folk pop. She started playing <strong>Christmas</strong> music. I’m not mad. <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""20793816"" dir=""ltr"" href=""/amazon""><s>@</s><b><strong>amazon</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/alexa?src=hash""><s>#</s><b><strong>alexa</strong></b></a></p>"
linknovate,Linknovate,1050475165941985284,2018-10-11 19:56:11,/linknovate/status/1050475165941985284,1,0,0,"Right on time for #Christmas 
""The new devices reflect @Amazon's ambition to make its #Alexa voice technology ubiquitous by focusing on areas where people spend most of their time: at home and in the car""
https://www.cnbc.com/2018/09/17/amazon-planning-8-new-alexa-devices-microwave-amplifier.html …pic.twitter.com/eHMSdNQvuJ","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Right on time for <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Christmas?src=hash""><s>#</s><b><strong>Christmas</strong></b></a> 
""The new devices reflect <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""20793816"" dir=""ltr"" href=""/amazon""><s>@</s><b><strong>Amazon</strong></b></a>'s ambition to make its <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Alexa?src=hash""><s>#</s><b><strong>Alexa</strong></b></a> voice technology ubiquitous by focusing on areas where people spend most of their time: at home and in the car""
<a class=""twitter-timeline-link"" data-expanded-url=""https://www.cnbc.com/2018/09/17/amazon-planning-8-new-alexa-devices-microwave-amplifier.html"" dir=""ltr"" href=""https://t.co/NVDsVzaDtn"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.cnbc.com/2018/09/17/amazon-planning-8-new-alexa-devices-microwave-amplifier.html""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">cnbc.com/2018/09/17/ama</span><span class=""invisible"">zon-planning-8-new-alexa-devices-microwave-amplifier.html</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/eHMSdNQvuJ"">pic.twitter.com/eHMSdNQvuJ</a></p>"
KrocCenterSD,Kroc Center SD,1052935957270261761,2018-10-18 14:54:29,/KrocCenterSD/status/1052935957270261761,1,0,0,"Help your local Salvation Army just by saying “Alexa, make a donation to The Salvation Army.” Your donations help us serve The Salvation Army Kroc Center Family Resource Center this Christmas and all year long.
Donations will stay local! #AskAlexa #Amazon","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Help your local Salvation Army just by saying “<strong>Alexa</strong>, make a donation to The Salvation Army.” Your donations help us serve The Salvation Army Kroc Center Family Resource Center this <strong>Christmas</strong> and all year long.
Donations will stay local! <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/AskAlexa?src=hash""><s>#</s><b>AskAlexa</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Amazon?src=hash""><s>#</s><b><strong>Amazon</strong></b></a></p>"
_Brause_Pulver_,Brause,1052585340479901697,2018-10-17 15:41:15,/_Brause_Pulver_/status/1052585340479901697,3,1,0,"Und dann läuft bei Alexa, im Amazon Radio plötzlich Last Christmas. 

Packt den Lebkuchen aus.","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""de"">Und dann läuft bei <strong>Alexa</strong>, im <strong>Amazon</strong> Radio plötzlich Last <strong>Christmas</strong>. 

Packt den Lebkuchen aus.</p>"
scarlettsals,Scarlett,1054766312482881536,2018-10-23 16:07:40,/scarlettsals/status/1054766312482881536,0,0,0,Asked Alexa to suggest me some music and she started playing Christmas songs it’s too early @amazon ,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Asked <strong>Alexa</strong> to suggest me some music and she started playing <strong>Christmas</strong> songs<img alt=""🤬"" aria-label=""Emoji: Face with symbols over mouth"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f92c.png"" title=""Face with symbols over mouth""/> it’s too early <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""20793816"" dir=""ltr"" href=""/amazon""><s>@</s><b><strong>amazon</strong></b></a> <img alt=""🎄"" aria-label=""Emoji: Christmas tree"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f384.png"" title=""Christmas tree""/><img alt=""🎅🏻"" aria-label=""Emoji: Father Christmas (light skin tone)"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f385-1f3fb.png"" title=""Father Christmas (light skin tone)""/><img alt=""🎁"" aria-label=""Emoji: Wrapped present"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f381.png"" title=""Wrapped present""/></p>"
