user,fullname,tweet-id,timestamp,url,likes,replies,retweets,text,html
CNN,CNN,1045274354601340928,2018-09-27 11:30:01,/CNN/status/1045274354601340928,96,28,50,"The Federal Reserve raised interest rates for the third time this year, upping the rate that helps determine costs of mortgages and credit cards. The decision, which was expected, is a sign of increased confidence in the US economy. https://cnn.it/2DxmKV9 pic.twitter.com/glkPlw2Gqv","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">The Federal Reserve raised <strong>interest rates</strong> for the third time this year, upping the rate that helps determine costs of mortgages and credit cards. The decision, which was expected, is a sign of increased confidence in the US economy. <a class=""twitter-timeline-link"" data-expanded-url=""https://cnn.it/2DxmKV9"" dir=""ltr"" href=""https://t.co/YqHRXweHRO"" rel=""nofollow noopener"" target=""_blank"" title=""https://cnn.it/2DxmKV9""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">cnn.it/2DxmKV9</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/glkPlw2Gqv"">pic.twitter.com/glkPlw2Gqv</a></p>"
CNN,CNN,1045063235878219778,2018-09-26 21:31:06,/CNN/status/1045063235878219778,255,40,72,"Federal Reserve Chairman Jerome Powell brushed off President Donald Trump's complaints about higher interest rates: ""We don't consider political factors or things like that"" https://cnn.it/2DwSjyv pic.twitter.com/fxF2KBX2l9","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Federal Reserve Chairman Jerome Powell brushed off President Donald Trump's complaints about higher <strong>interest rates</strong>: ""We don't consider political factors or things like that"" <a class=""twitter-timeline-link"" data-expanded-url=""https://cnn.it/2DwSjyv"" dir=""ltr"" href=""https://t.co/eJhrrjlrHy"" rel=""nofollow noopener"" target=""_blank"" title=""https://cnn.it/2DwSjyv""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">cnn.it/2DwSjyv</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/fxF2KBX2l9"">pic.twitter.com/fxF2KBX2l9</a></p>"
CNN,CNN,1045062611765583874,2018-09-26 21:28:37,/CNN/status/1045062611765583874,105,158,43,"President Trump opened his news conference in New York by talking about trade, tariffs and rising interest rates https://cnn.it/2N4nO2q pic.twitter.com/aZziyPLcU9","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">President Trump opened his news conference in New York by talking about trade, tariffs and rising <strong>interest rates</strong> <a class=""twitter-timeline-link"" data-expanded-url=""https://cnn.it/2N4nO2q"" dir=""ltr"" href=""https://t.co/jAYhwr60oQ"" rel=""nofollow noopener"" target=""_blank"" title=""https://cnn.it/2N4nO2q""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">cnn.it/2N4nO2q</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/aZziyPLcU9"">pic.twitter.com/aZziyPLcU9</a></p>"
CNN,CNN,1045054796271689729,2018-09-26 20:57:34,/CNN/status/1045054796271689729,109,32,71,"The Federal Reserve raised interest rates for the third time this year, upping the rate that helps determine costs of mortgages and credit cards. The decision, which was expected, is a sign of increased confidence in the US economy. https://cnn.it/2DxmKV9 pic.twitter.com/CEUIpfBlCV","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">The Federal Reserve raised <strong>interest rates</strong> for the third time this year, upping the rate that helps determine costs of mortgages and credit cards. The decision, which was expected, is a sign of increased confidence in the US economy. <a class=""twitter-timeline-link"" data-expanded-url=""https://cnn.it/2DxmKV9"" dir=""ltr"" href=""https://t.co/YqHRXweHRO"" rel=""nofollow noopener"" target=""_blank"" title=""https://cnn.it/2DxmKV9""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">cnn.it/2DxmKV9</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/CEUIpfBlCV"">pic.twitter.com/CEUIpfBlCV</a></p>"
CNN,CNN,1045020194928828417,2018-09-26 18:40:04,/CNN/status/1045020194928828417,86,30,54,The Federal Reserve hikes interest rates for the third time this year https://cnn.it/2OegxBH pic.twitter.com/b5EskJmo1T,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">The Federal Reserve hikes <strong>interest rates</strong> for the third time this year <a class=""twitter-timeline-link"" data-expanded-url=""https://cnn.it/2OegxBH"" dir=""ltr"" href=""https://t.co/1U7JxMBUX9"" rel=""nofollow noopener"" target=""_blank"" title=""https://cnn.it/2OegxBH""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">cnn.it/2OegxBH</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/b5EskJmo1T"">pic.twitter.com/b5EskJmo1T</a></p>"
CNN,CNN,968251339733196801,2018-02-26 22:28:03,/CNN/status/968251339733196801,62,10,27,What you don't know about your credit card interest rates http://cnn.it/2oySJcY pic.twitter.com/tIvW3tqtWi,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">What you don't know about your credit card <strong>interest rates</strong> <a class=""twitter-timeline-link"" data-expanded-url=""http://cnn.it/2oySJcY"" dir=""ltr"" href=""https://t.co/bGiDCb2ZQl"" rel=""nofollow noopener"" target=""_blank"" title=""http://cnn.it/2oySJcY""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">cnn.it/2oySJcY</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/tIvW3tqtWi"">pic.twitter.com/tIvW3tqtWi</a></p>"
CNN,CNN,967277989347102720,2018-02-24 06:00:18,/CNN/status/967277989347102720,218,24,93,Citigroup will refund about $330 million to consumers after discovering it had overcharged 1.75 million credit card accounts on their annual interest rates http://cnn.it/2Fw9iOR pic.twitter.com/pKggay0lfB,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Citigroup will refund about $330 million to consumers after discovering it had overcharged 1.75 million credit card accounts on their annual <strong>interest rates</strong> <a class=""twitter-timeline-link"" data-expanded-url=""http://cnn.it/2Fw9iOR"" dir=""ltr"" href=""https://t.co/spFpw75jOv"" rel=""nofollow noopener"" target=""_blank"" title=""http://cnn.it/2Fw9iOR""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">cnn.it/2Fw9iOR</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/pKggay0lfB"">pic.twitter.com/pKggay0lfB</a></p>"
CNN,CNN,967158533581099008,2018-02-23 22:05:37,/CNN/status/967158533581099008,176,31,114,Citigroup will refund about $330 million to consumers after discovering it had overcharged 1.75 million credit card accounts on their annual interest rates http://cnn.it/2FrjmbC pic.twitter.com/ZTts5IYO0y,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Citigroup will refund about $330 million to consumers after discovering it had overcharged 1.75 million credit card accounts on their annual <strong>interest rates</strong> <a class=""twitter-timeline-link"" data-expanded-url=""http://cnn.it/2FrjmbC"" dir=""ltr"" href=""https://t.co/jt9G1HuQie"" rel=""nofollow noopener"" target=""_blank"" title=""http://cnn.it/2FrjmbC""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">cnn.it/2FrjmbC</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/ZTts5IYO0y"">pic.twitter.com/ZTts5IYO0y</a></p>"
CNN,CNN,959656714856550400,2018-02-03 05:16:05,/CNN/status/959656714856550400,454,244,287,"The Dow dropped 666 points, capping its worst week in two years. Here's a look at what's going on.

1. Concerns the Fed will raise rates
2. Rising interest rates
3. Worries about the bond market
4. Politics
5. Cooling-off after recent stock rises http://cnn.it/2FFkes3 pic.twitter.com/CO1jzaM56F","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">The Dow dropped 666 points, capping its worst week in two years. Here's a look at what's going on.

1. Concerns the Fed will raise rates
2. Rising <strong>interest rates</strong>
3. Worries about the bond market
4. Politics
5. Cooling-off after recent stock rises <a class=""twitter-timeline-link"" data-expanded-url=""http://cnn.it/2FFkes3"" dir=""ltr"" href=""https://t.co/hLfC35VBpD"" rel=""nofollow noopener"" target=""_blank"" title=""http://cnn.it/2FFkes3""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">cnn.it/2FFkes3</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/CO1jzaM56F"">pic.twitter.com/CO1jzaM56F</a></p>"
CNN,CNN,959569541796941824,2018-02-02 23:29:41,/CNN/status/959569541796941824,2015,542,1218,"The Dow dropped 666 points, capping the worst week in two years. Here's a look at what's going on.

1. Concerns the Fed will raise rates
2. Rising interest rates
3. Worries about the bond market
4. Politics
5. Cooling-off after recent stock rises http://cnn.it/2FEtqgh pic.twitter.com/GAgt7PLDPv","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">The Dow dropped 666 points, capping the worst week in two years. Here's a look at what's going on.

1. Concerns the Fed will raise rates
2. Rising <strong>interest rates</strong>
3. Worries about the bond market
4. Politics
5. Cooling-off after recent stock rises <a class=""twitter-timeline-link"" data-expanded-url=""http://cnn.it/2FEtqgh"" dir=""ltr"" href=""https://t.co/AJWXNtECk0"" rel=""nofollow noopener"" target=""_blank"" title=""http://cnn.it/2FEtqgh""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">cnn.it/2FEtqgh</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/GAgt7PLDPv"">pic.twitter.com/GAgt7PLDPv</a></p>"
CNN,CNN,1024724020003041280,2018-08-01 18:30:19,/CNN/status/1024724020003041280,82,25,36,"The Federal Reserve is holding interest rates steady, for now https://cnn.it/2Ax2p0N pic.twitter.com/A1D7wNOtwY","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">The Federal Reserve is holding <strong>interest rates</strong> steady, for now <a class=""twitter-timeline-link"" data-expanded-url=""https://cnn.it/2Ax2p0N"" dir=""ltr"" href=""https://t.co/rOMrxB4z33"" rel=""nofollow noopener"" target=""_blank"" title=""https://cnn.it/2Ax2p0N""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">cnn.it/2Ax2p0N</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/A1D7wNOtwY"">pic.twitter.com/A1D7wNOtwY</a></p>"
