tweet-id,user,fullname,text,timestamp,day_timestamp,sentiment,day_average_sentiment,likes,replies,retweets
995949357307449344,WSJ,The Wall Street Journal,"'The U.S. economy is performing very well...Over this year and next, I expect above-trend output growth, continued strength in labor markets, and firming inflation' https://on.wsj.com/2KZGtwy ",2018-05-14 08:50:05,2018-05-14,0.7003,0.7003,52,5,27
996556935095816192,WSJ,The Wall Street Journal,"The contraction came just as Japan’s economy seemed to have finally escaped from decades of stagnation
https://on.wsj.com/2Gmlb8A ",2018-05-16 01:04:23,2018-05-16,0.0,0.10115,46,1,34
996714403130159105,WSJ,The Wall Street Journal,"What do higher Treasury yields, rising retail sales and empty seats at Taylor Swift concerts say about the economy? Sign up for the Real Time Economics newsletter for daily insight and analysis. https://on.wsj.com/2rNs7Gu ",2018-05-16 11:30:06,2018-05-16,0.2023,0.10115,37,11,13
997071752642654208,WSJ,The Wall Street Journal,Mismanagement and corruption have left Venezuela’s economy in tatters and its people hungry. This WSJ Films documentary follows one woman fighting to feed her children. https://on.wsj.com/2KxEvlE ,2018-05-17 11:10:05,2018-05-17,-0.3612,-0.5894,116,20,102
997132111394975744,WSJ,The Wall Street Journal,"""I felt death standing next to me, as if it were laughing."" Follow a mother fighting to feed her family in Venezuela's collapsed economy http://on.wsj.com/2L5UYyC pic.twitter.com/1JWBkcJRhH",2018-05-17 15:09:55,2018-05-17,-0.8176,-0.5894,644,67,404
997431623686742016,WSJ,The Wall Street Journal,Strong economy and inflation concerns help push home-loan rates to a seven-year high https://on.wsj.com/2LdDXTh ,2018-05-18 11:00:05,2018-05-18,0.7184,0.7184,30,5,25
998231928271724545,WSJ,The Wall Street Journal,"The Outlook: Conventional theory on the link between unemployment and prices holds up for the services economy, but not for goods https://on.wsj.com/2KBLABV ",2018-05-20 16:00:12,2018-05-20,-0.2382,-0.2382,18,3,11
998352688558563329,WSJ,The Wall Street Journal,"On one side is the goods economy, on the other the services economy. And inflation behaves differently in both: https://on.wsj.com/2IBeZiU ",2018-05-21 00:00:04,2018-05-21,0.0,-0.1427,23,0,21
998584728344252417,WSJ,The Wall Street Journal,"Is another Arab Spring possible? In Egypt, the military is increasingly dominant in the economy, inflation is soaring and popular resentment is mounting https://on.wsj.com/2wZ6pFt ",2018-05-21 15:22:06,2018-05-21,-0.0258,-0.1427,42,6,29
998609479880069125,WSJ,The Wall Street Journal,"After cracking down on his opposition, Egyptian President Sisi is doing the same with the economy: 'He doesn't trust businessmen' https://on.wsj.com/2KIZyBQ ",2018-05-21 17:00:27,2018-05-21,-0.4023,-0.1427,22,5,18
998903825691041794,WSJ,The Wall Street Journal,China’s Ministry of Finance says the reduction of tariffs is an 'important measure in further opening up' the Chinese economy https://on.wsj.com/2KMCJxr ,2018-05-22 12:30:05,2018-05-22,0.2023,0.2219,70,8,35
998918936195485697,WSJ,The Wall Street Journal,"Copper has rarely lagged behind this far behind other commodities, worrying some investors already anxious about the global economy https://on.wsj.com/2IBfyto ",2018-05-22 13:30:08,2018-05-22,-0.3637,0.2219,16,2,17
998968028229521409,WSJ,The Wall Street Journal,"Rising interest rates, the new U.S. tax law and an improving economy helped U.S. banks notch a record quarterly profit to start 2018 https://on.wsj.com/2GD75zX ",2018-05-22 16:45:12,2018-05-22,0.8271,0.2219,54,7,40
999556866060488704,WSJ,The Wall Street Journal,"Japan expressed alarm about threatened U.S. tariffs on imported cars, which could hit the Japanese economy hard and disrupt the industry around the world
https://on.wsj.com/2GMGxMz ",2018-05-24 07:45:02,2018-05-24,-0.7003,-0.5609,41,8,54
