user,fullname,tweet-id,timestamp,url,likes,replies,retweets,text,html
realDonaldTrump,Donald J. Trump,1025577505615503360,2018-08-04 03:01:46,/realDonaldTrump/status/1025577505615503360,58977,9721,13452,"Congratulations to Gregg Jarrett on his book, “THE RUSSIA HOAX, THE ILLICIT SCHEME TO CLEAR HILLARY CLINTON AND FRAME DONALD TRUMP,” going to #1 on @nytimes and Amazon. It is indeed a HOAX and WITCH HUNT, illegally started by people who have already been disgraced. Great book!","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Congratulations to Gregg Jarrett on his book, “THE RUSSIA HOAX, THE ILLICIT SCHEME TO CLEAR HILLARY CLINTON AND FRAME DONALD TRUMP,” going to #1 on <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""807095"" dir=""ltr"" href=""/nytimes""><s>@</s><b>nytimes</b></a> and <strong>Amazon</strong>. It is indeed a HOAX and WITCH HUNT, illegally started by people who have already been disgraced. Great book!</p>"
realDonaldTrump,Donald J. Trump,1024877011775500290,2018-08-02 04:38:15,/realDonaldTrump/status/1024877011775500290,68861,13219,16556,"Congratulations to  @GreggJarrett on The TREMENDOUS success of his just out book, “The Russia Hoax, The Illicit Scheme To Clear Hillary Clinton & Frame Donald Trump.” Already number one on Amazon. Hard work from a brilliant guy. It’s the Real Story of the Rigged Witch Hunt!","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Congratulations to  <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""21536398"" dir=""ltr"" href=""/GreggJarrett""><s>@</s><b>GreggJarrett</b></a> on The TREMENDOUS success of his just out book, “The Russia Hoax, The Illicit Scheme To Clear Hillary Clinton &amp; Frame Donald Trump.” Already number one on <strong>Amazon</strong>. Hard work from a brilliant guy. It’s the Real Story of the Rigged Witch Hunt!</p>"
realDonaldTrump,Donald J. Trump,1015586529484443648,2018-07-07 13:21:11,/realDonaldTrump/status/1015586529484443648,122141,47071,28446,"Twitter is getting rid of fake accounts at a record pace. Will that include the Failing New York Times and propaganda machine for Amazon, the Washington Post, who constantly quote anonymous sources that, in my opinion, don’t exist - They will both be out of business in 7 years!","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Twitter is getting rid of fake accounts at a record pace. Will that include the Failing New York Times and propaganda machine for <strong>Amazon</strong>, the Washington Post, who constantly quote anonymous sources that, in my opinion, don’t exist - They will both be out of business in 7 years!</p>"
realDonaldTrump,Donald J. Trump,981881669593559040,2018-04-05 13:10:07,/realDonaldTrump/status/981881669593559040,88741,26036,22903,"The Fake News Washington Post, Amazon’s “chief lobbyist,” has another (of many) phony headlines, “Trump Defiant As China Adds Trade Penalties.” WRONG! Should read, “Trump Defiant as U.S. Adds Trade Penalties, Will End Barriers And Massive  I.P. Theft.” Typically bad reporting!","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">The Fake News Washington Post, <strong>Amazon</strong>’s “chief lobbyist,” has another (of many) phony headlines, “Trump Defiant As China Adds Trade Penalties.” WRONG! Should read, “Trump Defiant as U.S. Adds Trade Penalties, Will End Barriers And Massive  I.P. Theft.” Typically bad reporting!</p>"
realDonaldTrump,Donald J. Trump,981168344924536832,2018-04-03 13:55:37,/realDonaldTrump/status/981168344924536832,80145,48945,18774,I am right about Amazon costing the United States Post Office massive amounts of money for being their Delivery Boy. Amazon should pay these costs (plus) and not have them bourne by the American Taxpayer. Many billions of dollars. P.O. leaders don’t have a clue (or do they?)!,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">I am right about <strong>Amazon</strong> costing the United States Post Office massive amounts of money for being their Delivery Boy. <strong>Amazon</strong> should pay these costs (plus) and not have them bourne by the American Taxpayer. Many billions of dollars. P.O. leaders don’t have a clue (or do they?)!</p>"
realDonaldTrump,Donald J. Trump,980800783313702918,2018-04-02 13:35:03,/realDonaldTrump/status/980800783313702918,73648,24415,17072,"Only fools, or worse, are saying that our money losing Post Office makes money with Amazon. THEY LOSE A FORTUNE, and this will be changed. Also, our fully tax paying retailers are closing stores all over the country...not a level playing field!","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Only fools, or worse, are saying that our money losing Post Office makes money with <strong>Amazon</strong>. THEY LOSE A FORTUNE, and this will be changed. Also, our fully tax paying retailers are closing stores all over the country...not a level playing field!</p>"
realDonaldTrump,Donald J. Trump,980065419632566272,2018-03-31 12:52:59,/realDonaldTrump/status/980065419632566272,85469,29263,20960,"...does not include the Fake Washington Post, which is used as a “lobbyist” and should so  REGISTER. If the P.O. “increased its parcel rates, Amazon’s shipping costs would rise by $2.6 Billion.” This Post Office scam must stop. Amazon must pay real costs (and taxes) now!","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">...does not include the Fake Washington Post, which is used as a “lobbyist” and should so  REGISTER. If the P.O. “increased its parcel rates, <strong>Amazon</strong>’s shipping costs would rise by $2.6 Billion.” This Post Office scam must stop. <strong>Amazon</strong> must pay real costs (and taxes) now!</p>"
realDonaldTrump,Donald J. Trump,980063581592047617,2018-03-31 12:45:41,/realDonaldTrump/status/980063581592047617,78268,23638,20093,"While we are on the subject, it is reported that the U.S. Post Office will lose $1.50 on average for each package it delivers for Amazon. That amounts to Billions of Dollars. The Failing N.Y. Times reports that “the size of the company’s lobbying staff has ballooned,” and that...","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">While we are on the subject, it is reported that the U.S. Post Office will lose $1.50 on average for each package it delivers for <strong>Amazon</strong>. That amounts to Billions of Dollars. The Failing N.Y. Times reports that “the size of the company’s lobbying staff has ballooned,” and that...</p>"
realDonaldTrump,Donald J. Trump,979326715272065024,2018-03-29 11:57:38,/realDonaldTrump/status/979326715272065024,124038,50936,30963,"I have stated my concerns with Amazon long before the Election. Unlike others, they pay little or no taxes to state & local governments, use our Postal System as their Delivery Boy (causing tremendous loss to the U.S.), and are putting many thousands of retailers out of business!","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">I have stated my concerns with <strong>Amazon</strong> long before the Election. Unlike others, they pay little or no taxes to state &amp; local governments, use our Postal System as their Delivery Boy (causing tremendous loss to the U.S.), and are putting many thousands of retailers out of business!</p>"
realDonaldTrump,Donald J. Trump,1023646669685104641,2018-07-29 19:09:19,/realDonaldTrump/status/1023646669685104641,64897,11387,14066,...and the Amazon Washington Post do nothing but write bad stories even on very positive achievements - and they will never change!,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">...and the <strong>Amazon</strong> Washington Post do nothing but write bad stories even on very positive achievements - and they will never change!</p>"
realDonaldTrump,Donald J. Trump,1021388295618682881,2018-07-23 13:35:20,/realDonaldTrump/status/1021388295618682881,80100,32339,17665,....In my opinion the Washington Post is nothing more than an expensive (the paper loses a fortune) lobbyist for Amazon. Is it used as protection against antitrust claims which many feel should be brought?,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">....In my opinion the Washington Post is nothing more than an expensive (the paper loses a fortune) lobbyist for <strong>Amazon</strong>. Is it used as protection against antitrust claims which many feel should be brought?</p>"
realDonaldTrump,Donald J. Trump,1021384752136409088,2018-07-23 13:21:15,/realDonaldTrump/status/1021384752136409088,82982,19317,19573,"The Amazon Washington Post has gone crazy against me ever since they lost the Internet Tax Case in the U.S. Supreme Court two months ago. Next up is the U.S. Post Office which they use, at a fraction of real cost, as their “delivery boy” for a BIG percentage of their packages....","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">The <strong>Amazon</strong> Washington Post has gone crazy against me ever since they lost the Internet Tax Case in the U.S. Supreme Court two months ago. Next up is the U.S. Post Office which they use, at a fraction of real cost, as their “delivery boy” for a BIG percentage of their packages....</p>"
