user,fullname,tweet-id,timestamp,url,likes,replies,retweets,text,html
BBCNews,BBC News (UK),905179549494857729,2017-09-05 21:23:16,/BBCNews/status/905179549494857729,37,11,35,"Wednesday's i: ""Britain's unfair economy"" (via @hendopolis) #tomorrowspaperstodaypic.twitter.com/ialjg9jDli","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Wednesday's i: ""Britain's unfair <strong>economy</strong>"" (via <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""16692859"" dir=""ltr"" href=""/hendopolis""><s>@</s><b>hendopolis</b></a>) <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/tomorrowspaperstoday?src=hash""><s>#</s><b>tomorrowspaperstoday</b></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/ialjg9jDli"">pic.twitter.com/ialjg9jDli</a></p>"
BBCNews,BBC News (UK),899078379856646144,2017-08-20 01:19:24,/BBCNews/status/899078379856646144,201,177,146,Hard Brexit 'offers £135bn annual boost' to economy http://bbc.in/2ih72ms ,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Hard Brexit 'offers £135bn annual boost' to <strong>economy</strong> <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""http://bbc.in/2ih72ms"" dir=""ltr"" href=""https://t.co/E3L9BC2dQU"" rel=""nofollow noopener"" target=""_blank"" title=""http://bbc.in/2ih72ms""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">bbc.in/2ih72ms</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>"
BBCNews,BBC News (UK),895090948194959360,2017-08-09 01:14:46,/BBCNews/status/895090948194959360,40,49,48,Darling: 'Alarm bells ringing' for UK economy http://bbc.in/2hIhFye ,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Darling: 'Alarm bells ringing' for UK <strong>economy</strong> <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""http://bbc.in/2hIhFye"" dir=""ltr"" href=""https://t.co/bHGeTNPxwe"" rel=""nofollow noopener"" target=""_blank"" title=""http://bbc.in/2hIhFye""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">bbc.in/2hIhFye</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>"
BBCNews,BBC News (UK),890129335448989696,2017-07-26 08:39:06,/BBCNews/status/890129335448989696,125,46,65,UK economy grows by 0.3% http://bbc.in/2eMWFFy ,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">UK <strong>economy</strong> grows by 0.3% <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""http://bbc.in/2eMWFFy"" dir=""ltr"" href=""https://t.co/HAxH2ShWCi"" rel=""nofollow noopener"" target=""_blank"" title=""http://bbc.in/2eMWFFy""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">bbc.in/2eMWFFy</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>"
BBCNews,BBC News (UK),1037285452380884992,2018-09-05 10:24:58,/BBCNews/status/1037285452380884992,79,102,24,Welby - Taxes must rise to tackle 'unjust economy' https://bbc.in/2Q3nsM1 ,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Welby - Taxes must rise to tackle 'unjust <strong>economy</strong>' <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://bbc.in/2Q3nsM1"" dir=""ltr"" href=""https://t.co/aeWefiOnav"" rel=""nofollow noopener"" target=""_blank"" title=""https://bbc.in/2Q3nsM1""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">bbc.in/2Q3nsM1</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>"
BBCNews,BBC News (UK),1024985147681193984,2018-08-02 11:47:57,/BBCNews/status/1024985147681193984,56,21,36,"""The Bank is well-prepared for whatever path the economy takes, including a wide range of potential #Brexit outcomes"" - Mark Carney, Bank of England governor  http://bbc.in/2AvdOy5 pic.twitter.com/vQXGtoMuEw","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">""The Bank is well-prepared for whatever path the <strong>economy</strong> takes, including a wide range of potential <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Brexit?src=hash""><s>#</s><b>Brexit</b></a> outcomes"" - Mark Carney, Bank of England governor  <a class=""twitter-timeline-link"" data-expanded-url=""http://bbc.in/2AvdOy5"" dir=""ltr"" href=""https://t.co/e7PczRpqte"" rel=""nofollow noopener"" target=""_blank"" title=""http://bbc.in/2AvdOy5""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">bbc.in/2AvdOy5</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/vQXGtoMuEw"">pic.twitter.com/vQXGtoMuEw</a></p>"
BBCNews,BBC News (UK),1024766582306816005,2018-08-01 21:19:27,/BBCNews/status/1024766582306816005,48,22,20,"Thursday's Daily Express
“£31bn heatwave boost to economy”

#tomorrowspaperstoday
#bbcpapers
(via @hendopolis)pic.twitter.com/r0XnUFGHPX","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Thursday's Daily Express
“£31bn heatwave boost to <strong>economy</strong>”

<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/tomorrowspaperstoday?src=hash""><s>#</s><b>tomorrowspaperstoday</b></a>
<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/bbcpapers?src=hash""><s>#</s><b>bbcpapers</b></a>
(via <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""16692859"" dir=""ltr"" href=""/hendopolis""><s>@</s><b>hendopolis</b></a>)<a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/r0XnUFGHPX"">pic.twitter.com/r0XnUFGHPX</a></p>"
BBCNews,BBC News (UK),1022445648036147205,2018-07-26 11:36:53,/BBCNews/status/1022445648036147205,154,111,120,Barcelona puts women's team in economy while men fly up front https://bbc.in/2LGggWT ,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Barcelona puts women's team in <strong>economy</strong> while men fly up front <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://bbc.in/2LGggWT"" dir=""ltr"" href=""https://t.co/4Nf2qmpLCi"" rel=""nofollow noopener"" target=""_blank"" title=""https://bbc.in/2LGggWT""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">bbc.in/2LGggWT</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>"
BBCNews,BBC News (UK),973547056865447936,2018-03-13 13:11:20,/BBCNews/status/973547056865447936,51,15,30,UK economy is growing at a slightly faster rate than predicted & borrowing is down - @PhilipHammondUK delivers #SpringStatement http://bbc.in/2FEod8V pic.twitter.com/FakqgXFW4l,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">UK <strong>economy</strong> is growing at a slightly faster rate than predicted &amp; borrowing is down - <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""2653613168"" dir=""ltr"" href=""/PhilipHammondUK""><s>@</s><b>PhilipHammondUK</b></a> delivers <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/SpringStatement?src=hash""><s>#</s><b>SpringStatement</b></a> <a class=""twitter-timeline-link"" data-expanded-url=""http://bbc.in/2FEod8V"" dir=""ltr"" href=""https://t.co/Sv9S7wd6ct"" rel=""nofollow noopener"" target=""_blank"" title=""http://bbc.in/2FEod8V""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">bbc.in/2FEod8V</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/FakqgXFW4l"">pic.twitter.com/FakqgXFW4l</a></p>"
BBCNews,BBC News (UK),973542842298585088,2018-03-13 12:54:35,/BBCNews/status/973542842298585088,58,28,44,UK economy grew by 1.7% in 2017- @PhilipHammondUK delivers #SpringStatement http://bbc.in/2FEod8V pic.twitter.com/dYqsDQpvwf,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">UK <strong>economy</strong> grew by 1.7% in 2017- <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""2653613168"" dir=""ltr"" href=""/PhilipHammondUK""><s>@</s><b>PhilipHammondUK</b></a> delivers <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/SpringStatement?src=hash""><s>#</s><b>SpringStatement</b></a> <a class=""twitter-timeline-link"" data-expanded-url=""http://bbc.in/2FEod8V"" dir=""ltr"" href=""https://t.co/Sv9S7wuH41"" rel=""nofollow noopener"" target=""_blank"" title=""http://bbc.in/2FEod8V""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">bbc.in/2FEod8V</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/dYqsDQpvwf"">pic.twitter.com/dYqsDQpvwf</a></p>"
