user,fullname,tweet-id,timestamp,url,likes,replies,retweets,text,html
WSJ,The Wall Street Journal,998968028229521409,2018-05-22 16:45:12,/WSJ/status/998968028229521409,54,7,40,"Rising interest rates, the new U.S. tax law and an improving economy helped U.S. banks notch a record quarterly profit to start 2018 https://on.wsj.com/2GD75zX ","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Rising interest rates, the new U.S. tax law and an improving <strong>economy</strong> helped U.S. banks notch a record quarterly profit to start 2018 <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://on.wsj.com/2GD75zX"" dir=""ltr"" href=""https://t.co/clcN0KNr3L"" rel=""nofollow noopener"" target=""_blank"" title=""https://on.wsj.com/2GD75zX""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">on.wsj.com/2GD75zX</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>"
WSJ,The Wall Street Journal,998918936195485697,2018-05-22 13:30:08,/WSJ/status/998918936195485697,16,2,17,"Copper has rarely lagged behind this far behind other commodities, worrying some investors already anxious about the global economy https://on.wsj.com/2IBfyto ","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Copper has rarely lagged behind this far behind other commodities, worrying some investors already anxious about the global <strong>economy</strong> <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://on.wsj.com/2IBfyto"" dir=""ltr"" href=""https://t.co/KDGxwZqC5B"" rel=""nofollow noopener"" target=""_blank"" title=""https://on.wsj.com/2IBfyto""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">on.wsj.com/2IBfyto</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>"
WSJ,The Wall Street Journal,998903825691041794,2018-05-22 12:30:05,/WSJ/status/998903825691041794,70,8,35,China’s Ministry of Finance says the reduction of tariffs is an 'important measure in further opening up' the Chinese economy https://on.wsj.com/2KMCJxr ,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">China’s Ministry of Finance says the reduction of tariffs is an 'important measure in further opening up' the Chinese <strong>economy</strong> <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://on.wsj.com/2KMCJxr"" dir=""ltr"" href=""https://t.co/s7I5ozjf8c"" rel=""nofollow noopener"" target=""_blank"" title=""https://on.wsj.com/2KMCJxr""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">on.wsj.com/2KMCJxr</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>"
WSJ,The Wall Street Journal,998609479880069125,2018-05-21 17:00:27,/WSJ/status/998609479880069125,22,5,18,"After cracking down on his opposition, Egyptian President Sisi is doing the same with the economy: 'He doesn't trust businessmen' https://on.wsj.com/2KIZyBQ ","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">After cracking down on his opposition, Egyptian President Sisi is doing the same with the <strong>economy</strong>: 'He doesn't trust businessmen' <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://on.wsj.com/2KIZyBQ"" dir=""ltr"" href=""https://t.co/w9PDUrRTfn"" rel=""nofollow noopener"" target=""_blank"" title=""https://on.wsj.com/2KIZyBQ""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">on.wsj.com/2KIZyBQ</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>"
WSJ,The Wall Street Journal,998584728344252417,2018-05-21 15:22:06,/WSJ/status/998584728344252417,42,6,29,"Is another Arab Spring possible? In Egypt, the military is increasingly dominant in the economy, inflation is soaring and popular resentment is mounting https://on.wsj.com/2wZ6pFt ","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Is another Arab Spring possible? In Egypt, the military is increasingly dominant in the <strong>economy</strong>, inflation is soaring and popular resentment is mounting <a class=""twitter-timeline-link"" data-expanded-url=""https://on.wsj.com/2wZ6pFt"" dir=""ltr"" href=""https://t.co/wZtTEZXbRC"" rel=""nofollow noopener"" target=""_blank"" title=""https://on.wsj.com/2wZ6pFt""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">on.wsj.com/2wZ6pFt</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>"
WSJ,The Wall Street Journal,998352688558563329,2018-05-21 00:00:04,/WSJ/status/998352688558563329,23,0,21,"On one side is the goods economy, on the other the services economy. And inflation behaves differently in both: https://on.wsj.com/2IBeZiU ","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">On one side is the goods <strong>economy</strong>, on the other the services <strong>economy</strong>. And inflation behaves differently in both: <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://on.wsj.com/2IBeZiU"" dir=""ltr"" href=""https://t.co/Gfm75wJy3B"" rel=""nofollow noopener"" target=""_blank"" title=""https://on.wsj.com/2IBeZiU""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">on.wsj.com/2IBeZiU</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>"
WSJ,The Wall Street Journal,998231928271724545,2018-05-20 16:00:12,/WSJ/status/998231928271724545,18,3,11,"The Outlook: Conventional theory on the link between unemployment and prices holds up for the services economy, but not for goods https://on.wsj.com/2KBLABV ","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">The Outlook: Conventional theory on the link between unemployment and prices holds up for the services <strong>economy</strong>, but not for goods <a class=""twitter-timeline-link"" data-expanded-url=""https://on.wsj.com/2KBLABV"" dir=""ltr"" href=""https://t.co/On4Jr0fpVq"" rel=""nofollow noopener"" target=""_blank"" title=""https://on.wsj.com/2KBLABV""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">on.wsj.com/2KBLABV</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>"
WSJ,The Wall Street Journal,997431623686742016,2018-05-18 11:00:05,/WSJ/status/997431623686742016,30,5,25,Strong economy and inflation concerns help push home-loan rates to a seven-year high https://on.wsj.com/2LdDXTh ,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Strong <strong>economy</strong> and inflation concerns help push home-loan rates to a seven-year high <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://on.wsj.com/2LdDXTh"" dir=""ltr"" href=""https://t.co/Y0yFaOo3Wp"" rel=""nofollow noopener"" target=""_blank"" title=""https://on.wsj.com/2LdDXTh""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">on.wsj.com/2LdDXTh</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>"
WSJ,The Wall Street Journal,997132111394975744,2018-05-17 15:09:55,/WSJ/status/997132111394975744,644,67,404,"""I felt death standing next to me, as if it were laughing."" Follow a mother fighting to feed her family in Venezuela's collapsed economy http://on.wsj.com/2L5UYyC pic.twitter.com/1JWBkcJRhH","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">""I felt death standing next to me, as if it were laughing."" Follow a mother fighting to feed her family in Venezuela's collapsed <strong>economy</strong> <a class=""twitter-timeline-link"" data-expanded-url=""http://on.wsj.com/2L5UYyC"" dir=""ltr"" href=""https://t.co/f7tL4dWdJ6"" rel=""nofollow noopener"" target=""_blank"" title=""http://on.wsj.com/2L5UYyC""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">on.wsj.com/2L5UYyC</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/1JWBkcJRhH"">pic.twitter.com/1JWBkcJRhH</a></p>"
WSJ,The Wall Street Journal,997071752642654208,2018-05-17 11:10:05,/WSJ/status/997071752642654208,116,20,102,Mismanagement and corruption have left Venezuela’s economy in tatters and its people hungry. This WSJ Films documentary follows one woman fighting to feed her children. https://on.wsj.com/2KxEvlE ,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Mismanagement and corruption have left Venezuela’s <strong>economy</strong> in tatters and its people hungry. This WSJ Films documentary follows one woman fighting to feed her children. <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://on.wsj.com/2KxEvlE"" dir=""ltr"" href=""https://t.co/YwFo5eEftw"" rel=""nofollow noopener"" target=""_blank"" title=""https://on.wsj.com/2KxEvlE""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">on.wsj.com/2KxEvlE</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>"
